id,title,description,tags,creator_id,created_at,popularity_score,likes_count,views_count,shares_count
101,Tech Talk,Presentations on emerging technologies (Weekly Session),"technology,education",208,2025-03-28,1.3,31,492,4
102,Pottery Class,Weekly pottery classes for beginners (Weekly Session),"art,crafts",202,2025-06-04,7.7,54,325,1
103,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Weekly Session),"gardening,workshop",233,2025-07-21,6.4,31,65,14
104,Food Festival,Block B food festival featuring local cuisine (Beginner Friendly),"food,event",244,2025-04-10,9.3,85,33,33
105,Cooking Workshop,Hands-on cooking workshops for healthy meals (Weekly Session),"food,education",213,2025-01-28,0.5,63,201,36
106,Pottery Class,Weekly pottery classes for beginners (Weekly Session),"art,crafts",216,2025-06-11,0.1,80,133,6
107,Pet Meetup,Meet and share fun activities for your pets (Weekly Session),"pets,community",248,2025-02-07,1.0,9,222,36
108,Book Club,Monthly book discussions on contemporary literature (Beginner Friendly),"books,community",240,2025-06-24,2.2,5,236,18
109,Cooking Workshop,Hands-on cooking workshops for healthy meals (Join Now),"food,education",203,2025-04-23,8.8,69,301,37
110,Yoga Class,Morning yoga session for fitness and relaxation (Limited Slots),"fitness,wellness",228,2025-06-27,6.4,13,51,32
111,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Weekly Session),"gardening,workshop",228,2025-06-06,6.0,35,254,41
112,Food Festival,Block B food festival featuring local cuisine (Beginner Friendly),"food,event",234,2025-01-28,7.8,63,449,50
113,Yoga Class,Morning yoga session for fitness and relaxation (Weekly Session),"fitness,wellness",234,2025-03-09,1.4,72,407,33
114,Cycling Group,Weekend cycling tours around the city (Beginner Friendly),"sports,outdoors",209,2025-02-18,0.6,21,332,48
115,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Weekly Session),"gardening,workshop",216,2025-07-14,0.6,73,31,20
116,Yoga Class,Morning yoga session for fitness and relaxation (Join Now),"fitness,wellness",240,2025-08-13,8.3,96,456,42
117,Tech Talk,Presentations on emerging technologies (Beginner Friendly),"technology,education",210,2025-02-24,0.2,56,63,43
118,Book Club,Monthly book discussions on contemporary literature (Beginner Friendly),"books,community",250,2025-04-22,8.3,49,197,28
119,Food Festival,Block B food festival featuring local cuisine (Limited Slots),"food,event",226,2025-03-26,4.9,26,126,37
120,Pet Meetup,Meet and share fun activities for your pets (Weekly Session),"pets,community",214,2025-03-24,7.8,82,87,49
121,Food Festival,Block B food festival featuring local cuisine (Join Now),"food,event",215,2025-06-03,1.5,97,354,34
122,Pottery Class,Weekly pottery classes for beginners (Beginner Friendly),"art,crafts",214,2025-08-03,0.5,88,488,11
