id,name,community,tags,signup_date
1,User1,Block A,"events,shopping,view",2025-03-30
2,User2,Block B,"movies,view,hygiene",2025-08-15
3,User3,Block C,"shopping,view,pets",2025-07-21
4,User4,Block A,"pets,shopping,fitness",2024-09-22
5,User5,Block A,"view,park,events",2025-01-11
6,User6,Block B,"park,hygiene,food",2024-10-31
7,User7,Block C,"view,food,movies",2025-08-11
8,User8,Block B,"shopping,movies,food",2025-07-01
9,User9,Block C,"park,events,shopping",2024-10-09
10,User10,Block C,"fitness,events,shopping",2025-01-02
11,User11,Block A,"hygiene,food,pets",2025-01-01
12,User12,Block D,"food,park,view",2025-04-14
13,User13,Block D,"fitness,events,movies",2024-11-27
14,User14,Block C,"food,fitness,park",2025-03-19
15,User15,Block C,"movies,view,fitness",2025-01-27
16,User16,Block B,"shopping,movies,events",2025-01-11
17,User17,Block A,"shopping,view,events",2024-09-04
18,User18,Block C,"hygiene,fitness,events",2025-06-29
19,User19,Block B,"shopping,movies,pets",2024-10-08
20,User20,Block B,"fitness,shopping,park",2025-05-13
21,User21,Block D,"pets,events,hygiene",2025-08-15
22,User22,Block D,"movies,view,shopping",2024-12-14
23,User23,Block B,"events,movies,fitness",2025-02-14
24,User24,Block D,"hygiene,pets,view",2024-12-28
25,User25,Block B,"movies,pets,food",2024-09-02
26,User26,Block C,"movies,park,shopping",2025-02-08
27,User27,Block D,"park,hygiene,movies",2024-08-20
28,User28,Block C,"pets,park,view",2024-11-03
29,User29,Block B,"hygiene,pets,movies",2025-02-16
30,User30,Block A,"view,events,park",2025-04-19
31,User31,Block D,"events,food,fitness",2025-03-19
32,User32,Block B,"park,movies,view",2025-03-11
33,User33,Block A,"hygiene,pets,movies",2025-01-24
34,User34,Block D,"park,shopping,hygiene",2025-03-12
35,User35,Block B,"hygiene,park,events",2025-01-27
36,User36,Block D,"pets,fitness,view",2024-10-14
37,User37,Block A,"pets,view,food",2025-01-20
38,User38,Block A,"food,pets,hygiene",2025-03-21
39,User39,Block C,"pets,fitness,events",2025-03-05
40,User40,Block C,"food,movies,hygiene",2025-06-20
41,User41,Block C,"food,pets,movies",2025-06-18
42,User42,Block A,"pets,fitness,shopping",2024-11-04
43,User43,Block A,"park,food,events",2025-03-25
44,User44,Block B,"pets,view,hygiene",2024-09-21
45,User45,Block D,"movies,park,food",2025-06-12
46,User46,Block D,"view,events,shopping",2024-11-17
47,User47,Block D,"pets,food,movies",2025-05-27
48,User48,Block A,"park,movies,fitness",2025-07-02
49,User49,Block B,"pets,park,shopping",2024-11-24
50,User50,Block D,"movies,hygiene,pets",2025-08-07
51,User51,Block C,"pets,park,view",2025-01-15
52,User52,Block D,"fitness,hygiene,pets",2024-10-13
53,User53,Block D,"view,shopping,hygiene",2025-08-15
54,User54,Block A,"view,events,shopping",2024-10-06
55,User55,Block D,"food,fitness,events",2024-12-06
56,User56,Block C,"events,fitness,view",2024-11-08
57,User57,Block B,"park,hygiene,fitness",2025-07-29
58,User58,Block D,"view,shopping,hygiene",2025-05-02
59,User59,Block D,"pets,events,park",2025-06-13
60,User60,Block B,"events,park,view",2024-09-25
61,User61,Block D,"view,shopping,movies",2024-12-06
62,User62,Block C,"fitness,pets,park",2025-02-16
63,User63,Block D,"events,food,hygiene",2024-12-26
64,User64,Block B,"events,shopping,view",2024-11-08
65,User65,Block B,"pets,hygiene,fitness",2024-12-31
66,User66,Block C,"park,pets,shopping",2025-02-05
67,User67,Block C,"pets,view,shopping",2024-10-11
68,User68,Block C,"food,fitness,events",2025-06-07
69,User69,Block D,"pets,hygiene,view",2024-12-01
70,User70,Block A,"events,view,shopping",2025-01-05
71,User71,Block A,"food,movies,view",2024-10-25
